"sk_produk","nama_produk","sk_cabang","nama_cabang","bulan","tahun","total_terjual"
18,"jus kesehatan 600 ml",65,"PHI Mini Market - Surabaya 01","1","2008","3039"
19,"nasi goreng instant (1 ons)",39,"PHI Mini Market - Makassar 01","1","2008","3201"
19,"nasi goreng instant (1 ons)",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3127"
19,"nasi goreng instant (1 ons)",65,"PHI Mini Market - Surabaya 01","1","2008","3111"
20,"snack gurih 1 ons",39,"PHI Mini Market - Makassar 01","1","2008","3356"
20,"snack gurih 1 ons",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3090"
20,"snack gurih 1 ons",65,"PHI Mini Market - Surabaya 01","1","2008","3178"
21,"kacang goreng 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3154"
21,"kacang goreng 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3164"
21,"kacang goreng 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3270"
22,"kacang mete 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3240"
22,"kacang mete 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","2737"
22,"kacang mete 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3176"
23,"markisa 600 ml",39,"PHI Mini Market - Makassar 01","1","2008","3430"
23,"markisa 600 ml",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3523"
23,"markisa 600 ml",65,"PHI Mini Market - Surabaya 01","1","2008","3226"
24,"bumbu fried chicken",39,"PHI Mini Market - Makassar 01","1","2008","3215"
24,"bumbu fried chicken",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3005"
24,"bumbu fried chicken",65,"PHI Mini Market - Surabaya 01","1","2008","3603"
25,"susu kotak 1 l",39,"PHI Mini Market - Makassar 01","1","2008","3456"
25,"susu kotak 1 l",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3672"
25,"susu kotak 1 l",65,"PHI Mini Market - Surabaya 01","1","2008","3214"
26,"minuman probiotik",39,"PHI Mini Market - Makassar 01","1","2008","2894"
26,"minuman probiotik",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3108"
26,"minuman probiotik",65,"PHI Mini Market - Surabaya 01","1","2008","2738"
27,"jeruk 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3060"
27,"jeruk 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","2960"
27,"jeruk 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3322"
28,"apel 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3073"
28,"apel 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3218"
28,"apel 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3290"
29,"alpukat 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3276"
29,"alpukat 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3002"
29,"alpukat 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3036"
30,"belimbing 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","2911"
30,"belimbing 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3211"
30,"belimbing 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","2916"
31,"durian 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3228"
31,"durian 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3254"
31,"durian 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3085"
32,"kelapa muda",39,"PHI Mini Market - Makassar 01","1","2008","2847"
32,"kelapa muda",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3246"
32,"kelapa muda",65,"PHI Mini Market - Surabaya 01","1","2008","2812"
33,"mangga 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3168"
33,"mangga 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","2823"
33,"mangga 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3343"
34,"Manggis 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3462"
34,"Manggis 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3051"
34,"Manggis 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3115"
35,"nenas 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3436"
35,"nenas 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3429"
35,"nenas 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","2911"
36,"nangka 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","2865"
36,"nangka 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3233"
36,"nangka 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3306"
37,"pepaya 1 buah",39,"PHI Mini Market - Makassar 01","1","2008","3247"
37,"pepaya 1 buah",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","2934"
37,"pepaya 1 buah",65,"PHI Mini Market - Surabaya 01","1","2008","2958"
38,"pisang 1 sisir",39,"PHI Mini Market - Makassar 01","1","2008","3255"
38,"pisang 1 sisir",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3256"
38,"pisang 1 sisir",65,"PHI Mini Market - Surabaya 01","1","2008","3571"
39,"rambutan 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3359"
39,"rambutan 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3161"
39,"rambutan 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3129"
40,"salak 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","2969"
40,"salak 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","2862"
40,"salak 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3357"
41,"semangka 1 buah",39,"PHI Mini Market - Makassar 01","1","2008","3415"
41,"semangka 1 buah",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3015"
41,"semangka 1 buah",65,"PHI Mini Market - Surabaya 01","1","2008","3462"
1,"bawang merah 1kg",39,"PHI Mini Market - Makassar 01","2","2008","3059"
1,"bawang merah 1kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3100"
1,"bawang merah 1kg",65,"PHI Mini Market - Surabaya 01","2","2008","3010"
2,"bawang putih 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2635"
2,"bawang putih 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3049"
2,"bawang putih 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2923"
3,"buncis 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3120"
3,"buncis 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2767"
3,"buncis 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3095"
4,"kacang panjang 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2874"
4,"kacang panjang 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2747"
4,"kacang panjang 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2707"
5,"kacang hijau 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2930"
5,"kacang hijau 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3058"
5,"kacang hijau 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3247"
6,"kentang 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3079"
6,"kentang 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2797"
6,"kentang 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3031"
7,"ketimun 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2793"
7,"ketimun 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2958"
7,"ketimun 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2854"
8,"kobis 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3014"
8,"kobis 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3255"
8,"kobis 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2777"
9,"tomat 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3007"
9,"tomat 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2604"
9,"tomat 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2643"
10,"ubi kayu basah 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3085"
10,"ubi kayu basah 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3035"
10,"ubi kayu basah 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2791"
11,"ubi jalar 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2946"
11,"ubi jalar 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3021"
11,"ubi jalar 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2985"
12,"wortel 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2942"
12,"wortel 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3545"
12,"wortel 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3143"
13,"susu kotak (800 ml)",39,"PHI Mini Market - Makassar 01","2","2008","2951"
13,"susu kotak (800 ml)",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3243"
13,"susu kotak (800 ml)",65,"PHI Mini Market - Surabaya 01","2","2008","2746"
14,"telur ayam ras 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3120"
14,"telur ayam ras 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2862"
14,"telur ayam ras 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3043"
15,"telur ayam kampung 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3015"
15,"telur ayam kampung 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2792"
15,"telur ayam kampung 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2745"
16,"mie instant 1 kotak (40 bungkus)",39,"PHI Mini Market - Makassar 01","2","2008","3243"
16,"mie instant 1 kotak (40 bungkus)",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3051"
16,"mie instant 1 kotak (40 bungkus)",65,"PHI Mini Market - Surabaya 01","2","2008","2982"
17,"air mineral 600 ml",39,"PHI Mini Market - Makassar 01","2","2008","3139"
17,"air mineral 600 ml",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3087"
17,"air mineral 600 ml",65,"PHI Mini Market - Surabaya 01","2","2008","3272"
18,"jus kesehatan 600 ml",39,"PHI Mini Market - Makassar 01","2","2008","3363"
18,"jus kesehatan 600 ml",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3388"
18,"jus kesehatan 600 ml",65,"PHI Mini Market - Surabaya 01","2","2008","2918"
19,"nasi goreng instant (1 ons)",39,"PHI Mini Market - Makassar 01","2","2008","3058"
19,"nasi goreng instant (1 ons)",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2898"
19,"nasi goreng instant (1 ons)",65,"PHI Mini Market - Surabaya 01","2","2008","2813"
20,"snack gurih 1 ons",39,"PHI Mini Market - Makassar 01","2","2008","3188"
20,"snack gurih 1 ons",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3103"
20,"snack gurih 1 ons",65,"PHI Mini Market - Surabaya 01","2","2008","3289"
21,"kacang goreng 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3157"
21,"kacang goreng 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2680"
21,"kacang goreng 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3077"
22,"kacang mete 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2603"
22,"kacang mete 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2873"
22,"kacang mete 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2937"
23,"markisa 600 ml",39,"PHI Mini Market - Makassar 01","2","2008","2824"
23,"markisa 600 ml",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2894"
23,"markisa 600 ml",65,"PHI Mini Market - Surabaya 01","2","2008","2772"
24,"bumbu fried chicken",39,"PHI Mini Market - Makassar 01","2","2008","3049"
24,"bumbu fried chicken",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3010"
24,"bumbu fried chicken",65,"PHI Mini Market - Surabaya 01","2","2008","2958"
25,"susu kotak 1 l",39,"PHI Mini Market - Makassar 01","2","2008","2965"
25,"susu kotak 1 l",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2955"
25,"susu kotak 1 l",65,"PHI Mini Market - Surabaya 01","2","2008","2876"
26,"minuman probiotik",39,"PHI Mini Market - Makassar 01","2","2008","3030"
26,"minuman probiotik",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2833"
26,"minuman probiotik",65,"PHI Mini Market - Surabaya 01","2","2008","3496"
27,"jeruk 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3397"
27,"jeruk 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3214"
27,"jeruk 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2972"
28,"apel 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3056"
28,"apel 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3054"
28,"apel 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3043"
29,"alpukat 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2578"
29,"alpukat 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2755"
29,"alpukat 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2704"
30,"belimbing 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2935"
30,"belimbing 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2544"
30,"belimbing 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2929"
31,"durian 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3013"
31,"durian 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2897"
31,"durian 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","2975"
32,"kelapa muda",39,"PHI Mini Market - Makassar 01","2","2008","2908"
32,"kelapa muda",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3010"
32,"kelapa muda",65,"PHI Mini Market - Surabaya 01","2","2008","2664"
33,"mangga 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3002"
33,"mangga 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2879"
33,"mangga 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3462"
34,"Manggis 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2823"
34,"Manggis 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2995"
34,"Manggis 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3061"
35,"nenas 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3390"
35,"nenas 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2860"
35,"nenas 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3058"
36,"nangka 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","3211"
36,"nangka 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3020"
36,"nangka 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3394"
37,"pepaya 1 buah",39,"PHI Mini Market - Makassar 01","2","2008","2572"
37,"pepaya 1 buah",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2717"
37,"pepaya 1 buah",65,"PHI Mini Market - Surabaya 01","2","2008","3239"
38,"pisang 1 sisir",39,"PHI Mini Market - Makassar 01","2","2008","2990"
38,"pisang 1 sisir",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2868"
38,"pisang 1 sisir",65,"PHI Mini Market - Surabaya 01","2","2008","3236"
39,"rambutan 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2836"
39,"rambutan 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3094"
39,"rambutan 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3045"
40,"salak 1 kg",39,"PHI Mini Market - Makassar 01","2","2008","2868"
40,"salak 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","3204"
40,"salak 1 kg",65,"PHI Mini Market - Surabaya 01","2","2008","3159"
41,"semangka 1 buah",39,"PHI Mini Market - Makassar 01","2","2008","2859"
41,"semangka 1 buah",47,"PHI Mini Market - Jakarta Pusat 01","2","2008","2395"
41,"semangka 1 buah",65,"PHI Mini Market - Surabaya 01","2","2008","2952"
1,"bawang merah 1kg",39,"PHI Mini Market - Makassar 01","3","2008","3378"
1,"bawang merah 1kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3104"
1,"bawang merah 1kg",65,"PHI Mini Market - Surabaya 01","3","2008","3303"
2,"bawang putih 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","3114"
2,"bawang putih 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3072"
2,"bawang putih 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3028"
3,"buncis 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","3220"
3,"buncis 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","2889"
3,"buncis 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","2827"
4,"kacang panjang 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","3328"
4,"kacang panjang 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","2791"
4,"kacang panjang 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3166"
5,"kacang hijau 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","2796"
5,"kacang hijau 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3021"
5,"kacang hijau 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3154"
6,"kentang 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","3259"
6,"kentang 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3221"
6,"kentang 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3255"
7,"ketimun 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","2657"
7,"ketimun 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3160"
7,"ketimun 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3193"
8,"kobis 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","2923"
8,"kobis 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3020"
8,"kobis 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3212"
9,"tomat 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","2898"
9,"tomat 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3128"
9,"tomat 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3402"
10,"ubi kayu basah 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","3054"
10,"ubi kayu basah 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3314"
10,"ubi kayu basah 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3099"
11,"ubi jalar 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","3275"
11,"ubi jalar 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","2866"
11,"ubi jalar 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3528"
12,"wortel 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","3106"
12,"wortel 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3281"
12,"wortel 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3149"
13,"susu kotak (800 ml)",39,"PHI Mini Market - Makassar 01","3","2008","3141"
13,"susu kotak (800 ml)",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","2977"
13,"susu kotak (800 ml)",65,"PHI Mini Market - Surabaya 01","3","2008","3597"
14,"telur ayam ras 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","3131"
14,"telur ayam ras 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3095"
14,"telur ayam ras 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","2796"
15,"telur ayam kampung 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","3117"
15,"telur ayam kampung 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3348"
15,"telur ayam kampung 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","2703"
16,"mie instant 1 kotak (40 bungkus)",39,"PHI Mini Market - Makassar 01","3","2008","3360"
16,"mie instant 1 kotak (40 bungkus)",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3138"
16,"mie instant 1 kotak (40 bungkus)",65,"PHI Mini Market - Surabaya 01","3","2008","3586"
17,"air mineral 600 ml",39,"PHI Mini Market - Makassar 01","3","2008","3142"
17,"air mineral 600 ml",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3065"
17,"air mineral 600 ml",65,"PHI Mini Market - Surabaya 01","3","2008","3354"
18,"jus kesehatan 600 ml",39,"PHI Mini Market - Makassar 01","3","2008","3135"
18,"jus kesehatan 600 ml",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3171"
18,"jus kesehatan 600 ml",65,"PHI Mini Market - Surabaya 01","3","2008","3006"
19,"nasi goreng instant (1 ons)",39,"PHI Mini Market - Makassar 01","3","2008","2804"
19,"nasi goreng instant (1 ons)",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3120"
19,"nasi goreng instant (1 ons)",65,"PHI Mini Market - Surabaya 01","3","2008","3268"
20,"snack gurih 1 ons",39,"PHI Mini Market - Makassar 01","3","2008","3642"
20,"snack gurih 1 ons",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3103"
20,"snack gurih 1 ons",65,"PHI Mini Market - Surabaya 01","3","2008","3178"
21,"kacang goreng 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","2863"
21,"kacang goreng 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3025"
21,"kacang goreng 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3065"
22,"kacang mete 1 kg",39,"PHI Mini Market - Makassar 01","3","2008","3081"
22,"kacang mete 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3018"
22,"kacang mete 1 kg",65,"PHI Mini Market - Surabaya 01","3","2008","3372"
23,"markisa 600 ml",39,"PHI Mini Market - Makassar 01","3","2008","3113"
23,"markisa 600 ml",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","2940"
23,"markisa 600 ml",65,"PHI Mini Market - Surabaya 01","3","2008","3376"
24,"bumbu fried chicken",39,"PHI Mini Market - Makassar 01","3","2008","3301"
24,"bumbu fried chicken",47,"PHI Mini Market - Jakarta Pusat 01","3","2008","3131"
24,"bumbu fried chicken",65,"PHI Mini Market - Surabaya 01","3","2008","2945"
